Institucion,Titulo,Url,Informacion
MinCiencias,Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico,https://minciencias.gov.co/node/9298,"Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico | Convocatoria 974 | Minciencias Seguir al contenido principal A+ A- Alto contraste ENG | FRA | POR | ESP Cabecera Quiénes Somos Contratación Prensa Menu Buscar Buscar Usted está aquí Inicio Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico Número: 974 Objetivo: Fortalecer la formación de capital humano de alto nivel, mediante el otorgamiento de apoyos económicos a profesionales universitarios colombianos con lugar de nacimiento en los municipios de la Región Pacífico señalados en el dirigido a, interesados en cursar un programa de maestría o doctorado en la Universidad Santiago de Cali - USC, a través de la conformación de un banco de candidatos(as) elegibles. Programas de formación de alto nivel ofertados y Líneas temáticas Modalidad 1: Maestría Programa de Maestría Modalidad Maestría en Educación Virtual Maestría en Educación Presencial Maestría en Educación Ambiental y Virtual Desarrollo Sostenible Maestría en Educación Ambiental y Presencial Desarrollo Sostenible Maestría en Dirección Empresarial Presencial Maestría en Gestión Pública Presencial Maestría en Comunicación Estratégica Presencial Maestría en Derecho Presencial Maestría en Derecho Médico Presencial Maestría en Química Industrial Presencial Modalidad 2: Doctorado Programa de Doctorado Modalidad Doctorado en Educación Presencial Doctorado en Administración Presencial Doctorado en Ciencias Aplicadas Presencial Doctorado en Derecho Presencial Ciencias de la salud Presencial Líneas Temáticas: Bioeconomía y territorio: Potenciar el desarrollo territorial sostenible mediante el conocimiento, conservación y aprovechamiento de la biodiversidad y sus servicios ecosistémicos. Derecho humano a la alimentación: Producir y disponer alimentos y agua de manera eficiente, soberana, autónoma y equitativa, por medio de la investigación y la innovación. Transición energética: Garantizar el"
MinCiencias,"CONVOCATORIA PARA EL FORTALECIMIENTO DE CAPACIDADES DE CIENCIA, TECNOLOGÍA E INNOVACIÓN EN EL DEPARTAMENTO DE CÓRDOBA ALINEADO CON LOS RETOS ESTRATÉGICOS DE CTeI DEL PLAN BIENAL 2025-2026",https://minciencias.gov.co/node/9215,"CONVOCATORIA PARA EL FORTALECIMIENTO DE CAPACIDADES DE CIENCIA, TECNOLOGÍA E INNOVACIÓN EN EL DEPARTAMENTO DE CÓRDOBA ALINEADO CON LOS RETOS ESTRATÉGICOS DE CTeI DEL PLAN BIENAL 2025-2026 | Convocatoria 51 | Minciencias Seguir al contenido principal A+ A- Alto contraste ENG | FRA | POR | ESP Cabecera Quiénes Somos Contratación Prensa Menu Buscar Buscar Usted está aquí Inicio CONVOCATORIA PARA EL FORTALECIMIENTO DE CAPACIDADES DE CIENCIA, TECNOLOGÍA E INNOVACIÓN EN EL DEPARTAMENTO DE CÓRDOBA ALINEADO CON LOS RETOS ESTRATÉGICOS DE CTeI DEL PLAN BIENAL 2025-2026 Número: 51 Objetivo: Fortalecer las capacidades de Ciencia, Tecnología e Innovación (CTeI) en el Departamento de Córdoba, mediante el desarrollo de proyectos de convergencia regional que impulsen la productividad y competitividad de acuerdo a las vocaciones territoriales dirigidas a atender las demandas territoriales del Reto 1. Aprovechar el conocimiento, conservación y uso sostenible de la biodiversidad, bienes y servicios ecosistémicos; Reto 2. Garantizar la soberanía alimentaria y el derecho a la alimentación; Reto 5. Poner fin a todas las formas de violencia en Colombia, y Reto 6. Asegurar la convergencia regional y el ordenamiento del territorio del plan bienal 2025-2026 y las transformaciones del Plan Nacional de Desarrollo. Eje Temático Los proyectos de inversión en ciencia, tecnología e innovación presentados en esta convocatoria deberán atender a las demandas territoriales definidas para el departamento objeto del proyecto relacionadas con los retos: el Reto 1. Aprovechar el conocimiento, conservación y uso sostenible de la biodiversidad, bienes y servicios ecosistémicos; Reto 2. Garantizar la soberanía alimentaria y el derecho a la alimentación; Reto 5. Poner fin a todas las formas de violencia en Colombia, y Reto 6. Asegurar la convergencia regional y el ordenamiento del territorio del Plan de Convocatorias públicas abiertas y competitivas del bienio 2025-2026 de la Asignación para la Ciencia, Tecno"
MinCiencias,"FORTALECIMIENTO Y CREACIÓN DE NUEVOS CENTROS E INSTITUTOS DE INVESTIGACIÓN, CENTROS DE DESARROLLO TECNOLÓGICO Y CENTROS DE CIENCIA",https://minciencias.gov.co/node/9216,"FORTALECIMIENTO Y CREACIÓN DE NUEVOS CENTROS E INSTITUTOS DE INVESTIGACIÓN, CENTROS DE DESARROLLO TECNOLÓGICO Y CENTROS DE CIENCIA | Convocatoria 45 | Minciencias Seguir al contenido principal A+ A- Alto contraste ENG | FRA | POR | ESP Cabecera Quiénes Somos Contratación Prensa Menu Buscar Buscar Usted está aquí Inicio FORTALECIMIENTO Y CREACIÓN DE NUEVOS CENTROS E INSTITUTOS DE INVESTIGACIÓN, CENTROS DE DESARROLLO TECNOLÓGICO Y CENTROS DE CIENCIA Número: 45 Objetivo: Aumentar la capacidad de investigación de los Centros e Institutos de Investigación, Centros de Desarrollo Tecnológico y Centros de Ciencia, mediante el fortalecimiento de capacidades de centros existentes y la creación de nuevos centros, que presenten propuestas integrales, las cuales deben contemplar tanto el fortalecimiento institucional y de capacidades de los Centros o Institutos. LÍNEAS TEMÁTICAS: El fortalecimiento de un centro de investigación se define como el conjunto de actividades tendientes a incrementar su capacidad de investigación y la excelencia científica en las áreas estratégicas declaradas por el centro, promover su articulación con los sectores a nivel nacional, su inserción en el ámbito internacional, su visibilidad y posicionamiento . En esta convocatoria, se establecen las siguientes líneas temáticas: Fortalecimiento de capacidades de centros: Fortalecimiento de capacidades de Centros e Institutos de Investigación, Centros de Desarrollo Tecnológico y Centros de Ciencia existentes, independientemente de si cuentan o no con reconocimiento vigente por parte del Ministerio de Ciencia, Tecnología e Innovación. Creación de nuevos centros: Creación de nuevos Centros e Institutos de Investigación, Centros de Desarrollo Tecnológico y Centros de Ciencia. Los Centros e Institutos de Investigación, Centros de Desarrollo Tecnológico y Centros de Ciencia pueden fortalecerse o crearse en cualquier área del conocimiento, siempre que contribuyan al desarrollo científico, tecnológico nacional y a"
MinCiencias,Convocatoria para la formación de capital humano de alto nivel para las regiones - docentes de establecimientos educativos oficiales de Cundinamarca,https://minciencias.gov.co/node/9164,"Convocatoria para la formación de capital humano de alto nivel para las regiones - docentes de establecimientos educativos oficiales de Cundinamarca | Convocatoria 973 | Minciencias Seguir al contenido principal A+ A- Alto contraste ENG | FRA | POR | ESP Cabecera Quiénes Somos Contratación Prensa Menu Buscar Buscar Usted está aquí Inicio Convocatoria para la formación de capital humano de alto nivel para las regiones - docentes de establecimientos educativos oficiales de Cundinamarca Número: 973 Objetivo: Incrementar la disponibilidad de capital humano con capacidades de investigación en prácticas pedagógicas en establecimientos educativos oficiales del Departamento de Cundinamarca. Las propuestas de investigación, desarrollo tecnológico y/o innovación a realizar como trabajo de grado por los candidatos a los programas de maestría financiados por la presente convocatoria, deberán estar enfocadas en la solución de problemas del ámbito académico en las aulas y relacionadas con uno o más focos priorizados del Plan y Acuerdo Estratégico en Ciencia, Tecnología e Innovación (PAED) del Departamento de Cundinamarca, y que se relacionan a continuación: ● Agropecuario ● Agroindustrial ● Educación – Desarrollo Social y Comunitario ● Medio Ambiente ● Minas – Energía ● Salud Adicionalmente, los candidatos que se presenten a esta convocatoria deberán alinear su propuesta de investigación, desarrollo tecnológico y/o innovación con alguna de las Misiones de la Política de Investigación e Innovación Orientada por Misiones adoptadas por la resolución 1452 de 2024 del Ministerio de Ciencia, Tecnología e Innovación. 1. Bioeconomía y territorio: Potenciar el desarrollo territorial sostenible mediante el conocimiento, conservación y aprovechamiento de la biodiversidad y sus servicios ecosistémicos. 2. Derecho humano a la alimentación: Producir y disponer alimentos y agua de manera eficiente, soberana, autónoma y equitativa, por medio de la investigación y la innovación. 3. Transición ene"
MinCiencias,CONVOCATORIA EN INVESTIGACIÓN BÁSICA,https://minciencias.gov.co/node/9123,"CONVOCATORIA EN INVESTIGACIÓN BÁSICA | Convocatoria 50 | Minciencias Seguir al contenido principal A+ A- Alto contraste ENG | FRA | POR | ESP Cabecera Quiénes Somos Contratación Prensa Menu Buscar Buscar Usted está aquí Inicio CONVOCATORIA EN INVESTIGACIÓN BÁSICA Número: 50 Objetivo: Generar nuevo conocimiento en las líneas temáticas de ciencias naturales, ciencias sociales y humanidades, a través de investigación básica orientada, con el fin de aportar a la comprensión de fenómenos complejos y la atención de problemas, necesidades u oportunidades, teniendo en cuenta las demandas territoriales enmarcadas en el Plan de Convocatorias 2025-2026. En esta convocatoria, se establecen las siguientes líneas temáticas de acuerdo con el uso de la Clasificación de los Ámbitos de Investigación y Desarrollo (FORD, por sus siglas en inglés) de la OCDE. Ciencias Naturales: - Matemáticas - Computación y ciencias de la información - Ciencias físicas - Ciencias químicas - Ciencias de la tierra y medioambientales - Ciencias biológicas - Otras ciencias naturales Ciencias Sociales y Humanidades: - Psicología - Economía y negocios - Ciencias de la educación - Sociología - Derecho - Ciencias políticas - Geografía Social y económica - Periodismo y comunicaciones - Historia y Arqueología - Idiomas y Literatura - Arte - Otras Historias - Otras ciencias sociales - Otras Humanidades Dirigida a: 1. Instituciones de Educación Superior 2. Centros/Institutos de Investigación 3. Centros de Ciencia Nota 1: Los anteriores actores podrán actuar como entidad proponente de manera individual, o podrán unirse en alianza. Para lo anterior, la entidad proponente deberá ser una Institución de Educación Superior. Nota 2: Entiéndase por alianza, el acuerdo entre al menos dos actores mencionados anteriormente, para el logro de los objetivos del proyecto de inversión a ser presentado en el marco de la convocatoria, de conformidad con el artículo 1.2.3.1.1 del Decreto 1821 de 2020. AVISO INFORMATIVO: En cumplimie"
MinAmbiente,Convocatoria Externa N° 1,https://www.minambiente.gov.co/wp-content/uploads/2021/12/Convocatoria-01-de-2021.pdf,"CONVOCATORIA EXTERNA No 01 Fecha de publicación 28/12/2021 Fecha de cierre 02/01/2022 Lugar Trabajo Bogotá Tipo de Contratación Prestación de Servicios Honorarios De acuerdo con la experiencia y estudios relacionados Recepción Hojas de Vida cexterna@minambiente.gov.co Vacantes 1 Indispensable al enviar la hoja de vida, escribir en el ASUNTO, el numero de convocatoria a la que se postula, y radicar los soportes relacionados en la lista de chequeo adjunta a la presente convocatoria REQUISITOS Educación Profesional en Ingeniería Ambiental, y/o Sanitario, con especialización en la modalidad de posgrado en Recurso Hídrico y/o afines. Experiencia Treinta y seis (36) meses de experiencia profesional, en construcción normativa y conocimiento en los procesos de trámites ambientales relacionados con el recurso hídrico y el desarrollo de estudios ambientales relacionados con el uso eficiente del agua."
MinAmbiente,Convocatoria Externa N° 2,https://www.minambiente.gov.co/wp-content/uploads/2021/12/Convocatoria-02-de-2021.pdf,"CONVOCATORIA EXTERNA No 02 Fecha de publicación 28/12/2021 Fecha de cierre 02/01/2022 Lugar Trabajo Bogotá Tipo de Contratación Prestación de Servicios Honorarios De acuerdo con la experiencia y estudios relacionados Recepción Hojas de Vida cexterna@minambiente.gov.co Vacantes 1 Indispensable al enviar la hoja de vida, escribir en el ASUNTO, el número de convocatoria a la que se postula, y radicar los soportes relacionados en la lista de chequeo adjunta a la presente convocatoria REQUISITOS Educación Profesional en Ingeniería Forestal y/o Administración, y/o Gestión ambiental y/o Ingeniería Ambiental y sanitaria. y/o Ingeniería civil, especialización en la modalidad de posgrado en formulación de proyectos, o políticas públicas, o gobierno y políticas públicas o afines. Experiencia Treinta y seis (36) meses de experiencia profesional, formulación de proyectos relacionados con el ambiente o gestión y promoción de proyectos relacionados con protección y conservación de los recursos naturales"
MinAmbiente,Convocatoria Externa N° 3,https://www.minambiente.gov.co/wp-content/uploads/2021/12/Convocatoria-03-de-2021.pdf,"CONVOCATORIA EXTERNA No 03 Fecha de publicación 28/12/2021 Fecha de cierre 02/01/2022 Lugar Trabajo Bogotá Tipo de Contratación Prestación de Servicios Honorarios De acuerdo con la experiencia y estudios relacionados Recepción Hojas de Vida cexterna@minambiente.gov.co Vacantes 3 Indispensable al enviar la hoja de vida, escribir en el ASUNTO, el número de convocatoria a la que se postula, y radicar los soportes relacionados en la lista de chequeo adjunta a la presente convocatoria REQUISITOS Educación Profesional en Ingeniería Forestal y/o ambiental o afines Experiencia Veinticuatro (24) meses de experiencia profesional, en gestión del recurso forestal y/o proyectos forestales, ambiental o social."
MinAmbiente,Convocatoria Externa N° 4,https://www.minambiente.gov.co/wp-content/uploads/2021/12/Convocatoria-04-de-2021.pdf,"CONVOCATORIA EXTERNA No 04 Fecha de publicación 28/12/2021 Fecha de cierre 02/01/2022 Lugar Trabajo Bogotá Tipo de Contratación Prestación de Servicios Honorarios De acuerdo con la experiencia y estudios relacionados Recepción Hojas de Vida cexterna@minambiente.gov.co Vacantes 1 Indispensable al enviar la hoja de vida, escribir en el ASUNTO, el número de convocatoria a la que se postula, y radicar los soportes relacionados en la lista de chequeo adjunta a la presente convocatoria REQUISITOS Educación Profesional Microbiología o afines Experiencia Veinticuatro (24) meses de experiencia profesional, en temas relacionados en recursos geneticos."
MinAmbiente,Convocatoria Externa N° 5,https://www.minambiente.gov.co/wp-content/uploads/2021/12/Convocatoria-05-de-2021.pdf,"CONVOCATORIA EXTERNA No 05 Fecha de publicación 28/12/2021 Fecha de cierre 02/01/2022 Lugar Trabajo Bogotá Tipo de Contratación Prestación de Servicios Honorarios De acuerdo con la experiencia y estudios relacionados Recepción Hojas de Vida cexterna@minambiente.gov.co Vacantes 2 Indispensable al enviar la hoja de vida, escribir en el ASUNTO, el número de convocatoria a la que se postula, y radicar los soportes relacionados en la lista de chequeo adjunta a la presente convocatoria REQUISITOS Educación Profesional en Biología, y/o ingeniería forestal, y/o ecología o afines, con posgrado en la modalidad de maestría en áreas afines. Experiencia Treinta y seis (36) meses de experiencia profesional, en formulación, implementación y seguimiento relacionados con la conservación de bosques."
